parameter,mini_param
Dissolved oxygen (DO),Dissolved Oxygen
Temperature,"Temperature, water"
Nitrate + Nitrite as N,Nitrite + Nitrate
"Total Phosphorus, mixed forms",Total Phosphorus
Phosphorus,Total Phosphorus
Total Phosphorus,Total Phosphorus
Escherichia coli,E. coli
Specific conductance,Conductivity
Conductivity,Conductivity
Total suspended solids,Total Suspended Solids
