"ParamClassID","param","WQIClass","Glacial","Criterion","Start Month","End Month","LowerResult","UpperResult","a","b","b2","Comments","...14"
404,"Temp","SpawnSupSalm","NA",17.5,5.5,8.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
404,"Temp","SpawnSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
405,"Temp","SpawnSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
405,"Temp","SpawnSupSalm","NA",17.5,5.5,9,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
405,"Temp","SpawnSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
406,"Temp","SpawnSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
406,"Temp","SpawnSupSalm","NA",17.5,5.5,9.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
406,"Temp","SpawnSupSalm","NA",13,9.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
407,"Temp","SpawnSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
407,"Temp","SpawnSupSalm","NA",17.5,5.5,10,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
407,"Temp","SpawnSupSalm","NA",13,10,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
408,"Temp","SpawnSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
408,"Temp","SpawnSupSalm","NA",17.5,6.5,8,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
408,"Temp","SpawnSupSalm","NA",13,8,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
409,"Temp","SpawnSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
409,"Temp","SpawnSupSalm","NA",17.5,6.5,8.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
409,"Temp","SpawnSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
410,"Temp","SpawnSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
410,"Temp","SpawnSupSalm","NA",17.5,6.5,9,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
410,"Temp","SpawnSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
411,"Temp","SpawnSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
411,"Temp","SpawnSupSalm","NA",17.5,6.5,9.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
